id, type, count, accessories
4000, Male, 2, Bandana / Small Shades
4001, Male, 4, Stringy Hair / Cigarette / Front Beard Dark / Classic Shades
4002, Male, 4, Bandana / Frown / Earring / Small Shades
4003, Male, 3, Shadow Beard / Medical Mask / Do-rag
4004, Female, 2, Tiara / Eye Patch
4005, Male, 2, Peak Spike / Smile
4006, Female, 3, Mohawk Thin / Purple Lipstick / Earring
4007, Male, 4, Frumpy Hair / Chinstrap / Earring / Regular Shades
4008, Male, 2, Beanie / Nerd Glasses
4009, Female, 3, Black Lipstick / Headband / Clown Eyes Blue
4010, Female, 2, Mohawk / Welding Goggles
4011, Male, 3, Stringy Hair / Classic Shades / Mustache
4012, Male, 1, Top Hat
4013, Male, 3, Police Cap / Big Shades / Muttonchops
4014, Male, 3, Bandana / Earring / Normal Beard
4015, Female, 3, Wild White Hair / Welding Goggles / Hot Lipstick
4016, Female, 3, Straight Hair / Regular Shades / Earring
4017, Male, 3, Earring / Normal Beard / Mohawk Dark
4018, Female, 4, Tassle Hat / Pipe / Hot Lipstick / Clown Eyes Blue
4019, Female, 5, Vape / Blue Eye Shadow / Straight Hair Blonde / Hot Lipstick / Earring
4020, Male, 3, Front Beard / Police Cap / Nerd Glasses
4021, Female, 1, Pink With Hat
4022, Male, 3, Eye Mask / Handlebars / Fedora
4023, Male, 2, Bandana / Chinstrap
4024, Male, 3, Cap / Frown / Regular Shades
4025, Male, 3, Normal Beard / Knitted Cap / Small Shades
4026, Male, 2, Big Shades / Spots
4027, Male, 3, Messy Hair / Pipe / Mole
4028, Female, 3, Green Eye Shadow / Wild Hair / Purple Lipstick
4029, Male, 2, Top Hat / Big Beard
4030, Female, 4, Hot Lipstick / Wild Hair / Earring / Cigarette
4031, Male, 3, Frumpy Hair / Luxurious Beard / Regular Shades
4032, Female, 3, Green Eye Shadow / Blonde Short / Purple Lipstick
4033, Male, 4, Shadow Beard / Earring / VR / Shaved Head
4034, Male, 4, Luxurious Beard / Classic Shades / Earring / Knitted Cap
4035, Male, 4, Stringy Hair / Handlebars / Vape / Small Shades
